frame_index,tracker_id,vehicle_type,class_id,x,y,distance,time_s,speed_kmh,speed_ms,traffic_light_status,yellow_light,distance_to_stop_line,distance_to_front_vehicle,traffic_density,ttc,yellow_light_decision,go_stop_label
0,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
1,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
2,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
3,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
4,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
5,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
6,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
7,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
8,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
9,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
10,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
11,1,car,2,4,28,,,,0.0,YELLOW,True,28.0,,1,999.0,,0
12,1,car,2,4,28,0.0,0.5,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
13,1,car,2,4,28,0.0,0.5384615384615384,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
14,1,car,2,4,28,0.0,0.5769230769230769,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
15,1,car,2,4,28,0.0,0.6153846153846154,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
16,1,car,2,4,28,0.0,0.6538461538461539,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
17,1,car,2,4,28,0.0,0.6923076923076923,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
18,1,car,2,4,28,0.0,0.7307692307692307,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
19,1,car,2,4,28,0.0,0.7692307692307693,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
20,1,car,2,4,28,0.0,0.8076923076923077,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
21,1,car,2,4,28,0.0,0.8461538461538461,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
22,1,car,2,4,28,0.0,0.8846153846153846,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
23,1,car,2,4,28,0.0,0.9230769230769232,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
24,1,car,2,4,28,0.0,0.9615384615384616,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
25,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
26,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
27,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
28,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
29,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
30,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
31,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
32,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
33,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
34,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
35,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
36,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
37,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
38,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
39,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
40,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
41,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
42,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
43,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
44,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
45,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
46,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
47,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
48,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
49,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
50,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
51,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
52,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
53,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
54,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
55,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
56,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
57,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
58,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
59,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
60,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
61,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
62,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
63,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
64,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
65,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
66,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
67,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
68,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
69,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
70,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
71,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
72,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
