frame,vehicle_id,speed_m_s,dist_to_stop_m,X0,Xc,dilemma_zone
1,0,1.4204601,4.058278,-9.028389,2.4189339,False
1,1,18.903685,16.814583,52.162895,79.405426,False
1,2,0.11856118,10.925754,-13.585035,0.17984988,False
1,3,0.079818256,10.827575,-13.720636,0.12063752,False
2,0,3.2566655,3.9222457,-2.6016712,6.4001226,True
2,1,12.56758,16.637133,29.98653,41.41481,False
2,2,0.07956249,10.925453,-13.721531,0.12024806,False
2,3,0.12718256,10.833388,-13.554861,0.19308461,False
3,0,2.1878622,3.9223037,-6.3424826,3.9656134,True
3,1,8.422887,16.633982,15.480104,22.769333,True
3,2,0.056523297,10.925114,-13.802168,0.08524136,False
3,3,0.08540627,10.833332,-13.701078,0.12915145,False
4,0,2.7298172,3.7823954,-4.4456396,5.159283,True
4,1,9.366379,16.236053,18.782326,26.58229,False
4,2,0.047895446,10.9246645,-13.832366,0.07217088,False
4,3,0.15484616,10.825571,-13.458038,0.23569457,False
5,0,2.4414818,3.7888741,-5.454814,4.5137706,True
5,1,4.6646023,16.232996,2.326107,10.105263,False
5,2,0.018927554,10.924613,-13.933754,0.02844251,False
5,3,0.135289,10.825527,-13.526488,0.20554823,False
6,0,1.1697208,3.7886975,-9.905977,1.950045,False
6,1,3.1097116,16.233313,-3.1160088,6.0460396,False
6,2,0.00925462,10.924675,-13.967609,0.013894167,False
6,3,0.091800906,10.825547,-13.678697,0.13890527,False
7,0,3.4694161,3.5677404,-1.8570433,6.923674,True
7,1,6.4412274,15.7871,8.544296,15.5889,False
7,2,0.076806016,10.919866,-13.731178,0.11605176,False
7,3,0.10368046,10.827018,-13.637118,0.15705636,False
8,0,4.538472,3.3199582,1.8846531,9.750241,True
8,1,5.2228346,15.543047,4.2799206,11.73111,False
8,2,0.08467118,10.918113,-13.703651,0.12803094,False
8,3,0.017248025,10.826782,-13.939632,0.025914537,False
9,0,4.5704846,3.332113,1.9966965,9.839917,True
9,1,5.2351127,15.546178,4.322895,11.76787,False
9,2,0.08606561,10.917842,-13.6987705,0.1301566,False
9,3,0.017815443,10.826904,-13.937646,0.026768506,False
10,0,5.9012356,3.188788,6.6543236,13.826794,False
10,1,8.739507,15.080458,16.588274,24.020542,False
10,2,0.14883056,10.925691,-13.479094,0.22641021,False
10,3,0.025038421,10.827834,-13.912365,0.03764719,False
11,0,3.6275997,3.192157,-1.303401,7.3213253,True
11,1,5.393429,15.079645,4.877001,12.245726,False
11,2,0.08559663,10.924905,-13.700412,0.12944163,False
11,3,0.013218366,10.827851,-13.953735,0.01985251,False
12,0,4.119858,2.9839158,0.41950226,8.604534,True
12,1,6.74852,14.660949,9.61982,16.628855,True
12,2,0.32420754,10.9402895,-12.865273,0.5013271,False
12,3,0.013218366,10.827851,-13.953735,0.01985251,False
13,0,4.130147,2.9883206,0.4555149,8.632094,True
13,1,6.7393994,14.6634035,9.587898,16.5976,True
13,2,0.32648215,10.940212,-12.857312,0.5049504,False
13,3,0.013218366,10.827851,-13.953735,0.01985251,False
14,0,3.3423738,2.950494,-2.301691,6.609484,True
14,1,4.9601216,14.433083,3.360426,10.954869,False
14,2,0.34837088,10.946599,-12.780702,0.53989375,False
14,3,0.013218366,10.827851,-13.953735,0.01985251,False
15,0,3.3399603,2.9473608,-2.3101387,6.60356,True
15,1,4.947572,14.433733,3.3165035,10.9182825,False
15,2,0.34322596,10.946826,-12.798709,0.53166807,False
15,3,0.013218366,10.827851,-13.953735,0.01985251,False
16,0,1.2325325,2.9474523,-9.686136,2.0658183,False
16,1,4.783206,14.037878,2.7412205,10.443246,False
16,2,0.15429184,10.938574,-13.459978,0.2348386,False
16,3,0.085846655,10.834835,-13.699537,0.12982279,False
17,0,1.1512426,2.9482183,-9.970651,1.916201,False
17,1,4.759337,14.037538,2.6576786,10.374905,False
17,2,0.16287749,10.940188,-13.429929,0.24810609,False
17,3,0.088019006,10.834446,-13.691934,0.13313527,False
18,0,3.9734054,2.6700366,-0.093081474,8.215529,True
18,1,6.297163,13.604053,8.04007,15.11064,True
18,2,0.16287749,10.940188,-13.429929,0.24810609,False
