idx,t_ms,ts,mpu_ok,dht_ok,gps_fix,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mpuTempC,pitch_deg,roll_deg,dhtTempC,dhtHum,lat,lon,v_mps,a_mps2,yellow_light_decision,tracker_id,frame_index
34449,1763939,20251210_140821,True,False,True,0.0046,-1.9299,-0.3879,-4.3817,-13.7939,3.5496,28.39,-0.14,-101.37,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34449
34450,1763989,20251210_140821,True,False,True,-0.2124,-2.0,-0.3774,-1.1298,5.8626,2.2748,28.39,5.96,-100.69,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34450
34451,1764040,20251210_140821,True,True,True,-0.0305,-2.0,-0.2158,3.9237,-1.8473,3.0916,28.34,0.87,-96.16,25.3,44.0,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34451
34452,1764111,20251210_140821,True,False,True,-0.0806,-2.0,-0.2158,-4.542,-15.3282,1.8015,28.39,2.29,-96.16,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34452
34453,1764161,20251210_140821,True,False,True,-0.2017,-2.0,-0.1912,-1.2443,-12.4198,3.145,28.39,5.73,-95.46,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34453
34454,1764211,20251210_140821,True,False,True,-0.1064,-1.9927,-0.29,-6.5954,-0.9695,-2.0763,28.44,3.03,-98.28,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34454
34455,1764260,20251210_140821,True,False,True,-0.0212,-2.0,-0.3276,-9.0611,-2.5038,-1.6412,28.25,0.6,-99.3,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34455
34456,1764311,20251210_140821,True,False,True,-0.1709,-2.0,-0.3257,-7.3664,-1.7634,-0.0076,28.34,4.82,-99.25,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34456
34457,1764361,20251210_140821,True,False,True,-0.001,-1.9287,-0.3628,-7.2977,-4.7023,-0.9313,28.39,0.03,-100.65,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34457
34458,1764410,20251210_140821,True,False,True,-0.1216,-2.0,-0.3625,-2.4885,-0.3359,0.7252,28.39,3.42,-100.27,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34458
34459,1764463,20251210_140821,True,False,True,-0.0046,-2.0,-0.3396,1.2519,-0.7634,1.2672,28.29,0.13,-99.64,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34459
34460,1764513,20251210_140821,True,False,True,-0.1758,-2.0,-0.2974,-1.2901,-0.9313,0.2595,28.25,4.97,-98.46,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34460
34461,1764562,20251210_140821,True,False,True,-0.0803,-2.0,-0.2649,-4.5802,-7.1298,-1.3282,28.34,2.28,-97.54,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34461
34462,1764612,20251210_140821,True,False,True,-0.0496,-2.0,-0.3149,-2.6947,1.3282,-0.8397,28.34,1.4,-98.95,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34462
34463,1764662,20251210_140821,True,False,True,-0.1577,-2.0,-0.2512,-2.626,-4.0611,1.4427,28.39,4.47,-97.16,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34463
34464,1764711,20251210_140821,True,False,True,-0.0581,-2.0,-0.2737,-3.5573,-3.7099,-1.145,28.39,1.65,-97.79,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34464
34465,1764762,20251210_140821,True,False,True,-0.178,-2.0,-0.2937,-5.1069,-1.7786,-1.6336,28.34,5.03,-98.35,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34465
34466,1764812,20251210_140821,True,False,True,-0.0308,-2.0,-0.3291,-1.6565,-0.6107,-2.0763,28.25,0.87,-99.34,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34466
34467,1764861,20251210_140821,True,False,True,-0.0452,-2.0,-0.2004,-4.4122,-3.9771,-0.9924,28.34,1.29,-95.72,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34467
34468,1764911,20251210_140821,True,False,True,-0.1357,-2.0,-0.2207,-4.9008,-7.4351,0.5802,28.34,3.86,-96.3,,,25.062834,121.54409,11.008,-0.01,0,yellow_go_001,34468
34469,1764962,20251210_140822,True,False,True,-0.103,-1.959,-0.2207,-7.8931,-1.7939,-1.6641,28.29,2.99,-96.43,,,25.062737,121.544121,10.815,-0.188,0,yellow_go_001,34469
34470,1765011,20251210_140822,True,False,True,-0.0701,-2.0,-0.2441,-8.5954,-0.1221,-2.7863,28.29,1.99,-96.96,,,25.062737,121.544121,10.815,-0.188,0,yellow_go_001,34470
34471,1765061,20251210_140822,True,True,True,-0.0762,-2.0,-0.2441,-6.4733,-0.8473,-2.0992,28.25,2.17,-96.96,25.3,44.0,25.062737,121.544121,10.815,-0.188,0,yellow_go_001,34471
34472,1765112,20251210_140822,True,False,True,-0.0823,-1.9648,-0.2202,-7.6489,-6.2824,-1.9008,28.34,2.38,-96.39,,,25.062737,121.544121,10.815,-0.188,0,yellow_go_001,34472
