frame_index,tracker_id,vehicle_type,class_id,time_s,speed_kmh,speed_ms,traffic_light_status,yellow_light,distance_to_stop_line,distance_to_front_vehicle,traffic_density,ttc,yellow_light_decision
34449,1,car,2,1148.3,39.6288,11.008,green,0,44.032,50.0,0.5,4.0,
34450,1,car,2,1148.3333333333333,39.6288,11.008,green,0,43.878330708661416,50.0,0.5,3.9860402169932247,
34451,1,car,2,1148.3666666666666,39.6288,11.008,green,0,43.72466141732283,50.0,0.5,3.972080433986449,
34452,1,car,2,1148.4,39.6288,11.008,green,0,43.57099212598425,50.0,0.5,3.958120650979674,
34453,1,car,2,1148.4333333333334,39.6288,11.008,green,0,43.41732283464567,50.0,0.5,3.944160867972899,
34454,1,car,2,1148.4666666666667,39.6288,11.008,green,0,43.263653543307086,50.0,0.5,3.9302010849661237,
34455,1,car,2,1148.5,39.6288,11.008,green,0,43.1099842519685,50.0,0.5,3.916241301959348,
34456,1,car,2,1148.5333333333333,39.6288,11.008,green,0,42.95631496062992,50.0,0.5,3.902281518952573,
34457,1,car,2,1148.5666666666666,39.6288,11.008,green,0,42.80264566929134,50.0,0.5,3.8883217359457976,
34458,1,car,2,1148.6,39.6288,11.008,green,0,42.64897637795275,50.0,0.5,3.874361952939022,
34459,1,car,2,1148.6333333333334,39.6288,11.008,green,0,42.49530708661417,50.0,0.5,3.8604021699322466,
34460,1,car,2,1148.6666666666667,39.6288,11.008,green,0,42.34163779527559,50.0,0.5,3.846442386925472,
34461,1,car,2,1148.7,39.6288,11.008,green,0,42.18796850393701,50.0,0.5,3.8324826039186966,
34462,1,car,2,1148.7333333333333,39.6288,11.008,green,0,42.03429921259842,50.0,0.5,3.818522820911921,
34463,1,car,2,1148.7666666666667,39.6288,11.008,green,0,41.88062992125984,50.0,0.5,3.8045630379051456,
34464,1,car,2,1148.8,39.6288,11.008,green,0,41.72696062992126,50.0,0.5,3.7906032548983704,
34465,1,car,2,1148.8333333333333,39.6288,11.008,green,0,41.57329133858267,50.0,0.5,3.7766434718915947,
34466,1,car,2,1148.8666666666666,39.6288,11.008,green,0,41.41962204724409,50.0,0.5,3.7626836888848194,
34467,1,car,2,1148.9,39.6288,11.008,green,0,41.26595275590551,50.0,0.5,3.7487239058780446,
34468,1,car,2,1148.9333333333334,39.6288,11.008,green,0,41.11228346456693,50.0,0.5,3.7347641228712694,
34469,1,car,2,1148.9666666666667,38.934,10.815,green,0,40.95861417322834,50.0,0.5,3.787204269369241,
34470,1,car,2,1149.0,38.934,10.815,green,0,40.80494488188976,50.0,0.5,3.772995365870528,
34471,1,car,2,1149.0333333333333,38.934,10.815,green,0,40.65127559055118,50.0,0.5,3.7587864623718152,
34472,1,car,2,1149.0666666666666,38.934,10.815,green,0,40.49760629921259,50.0,0.5,3.7445775588731016,
34473,1,car,2,1149.1,38.934,10.815,green,0,40.34393700787401,50.0,0.5,3.7303686553743884,
34474,1,car,2,1149.1333333333334,38.934,10.815,green,0,40.19026771653543,50.0,0.5,3.7161597518756757,
34475,1,car,2,1149.1666666666667,38.934,10.815,green,0,40.03659842519685,50.0,0.5,3.7019508483769625,
34476,1,car,2,1149.2,38.934,10.815,green,0,39.88292913385826,50.0,0.5,3.687741944878249,
34477,1,car,2,1149.2333333333333,38.934,10.815,green,0,39.72925984251968,50.0,0.5,3.673533041379536,
34478,1,car,2,1149.2666666666667,38.934,10.815,green,0,39.5755905511811,50.0,0.5,3.659324137880823,
34479,1,car,2,1149.3,38.934,10.815,green,0,39.42192125984252,50.0,0.5,3.6451152343821103,
34480,1,car,2,1149.3333333333333,38.934,10.815,green,0,39.26825196850393,50.0,0.5,3.6309063308833966,
34481,1,car,2,1149.3666666666666,38.934,10.815,green,0,39.11458267716535,50.0,0.5,3.6166974273846835,
34482,1,car,2,1149.4,38.934,10.815,green,0,38.96091338582677,50.0,0.5,3.6024885238859707,
34483,1,car,2,1149.4333333333334,38.934,10.815,green,0,38.80724409448818,50.0,0.5,3.588279620387257,
34484,1,car,2,1149.4666666666667,38.934,10.815,green,0,38.6535748031496,50.0,0.5,3.574070716888544,
34485,1,car,2,1149.5,38.934,10.815,green,0,38.49990551181102,50.0,0.5,3.559861813389831,
34486,1,car,2,1149.5333333333333,38.934,10.815,green,0,38.346236220472434,50.0,0.5,3.5456529098911176,
34487,1,car,2,1149.5666666666666,38.934,10.815,green,0,38.192566929133854,50.0,0.5,3.5314440063924044,
34488,1,car,2,1149.6,38.934,10.815,green,0,38.03889763779527,50.0,0.5,3.5172351028936917,
34489,1,car,2,1149.6333333333334,38.815200000000004,10.782,green,0,37.88522834645669,50.0,0.5,3.5137477598271833,
34490,1,car,2,1149.6666666666667,38.815200000000004,10.782,green,0,37.731559055118105,50.0,0.5,3.4994953677534877,
34491,1,car,2,1149.7,38.815200000000004,10.782,green,0,37.577889763779524,50.0,0.5,3.4852429756797925,
34492,1,car,2,1149.7333333333333,38.815200000000004,10.782,green,0,37.42422047244094,50.0,0.5,3.4709905836060977,
34493,1,car,2,1149.7666666666667,38.815200000000004,10.782,green,0,37.27055118110236,50.0,0.5,3.4567381915324025,
34494,1,car,2,1149.8,38.815200000000004,10.782,green,0,37.116881889763775,50.0,0.5,3.442485799458707,
34495,1,car,2,1149.8333333333333,38.815200000000004,10.782,green,0,36.963212598425194,50.0,0.5,3.4282334073850116,
34496,1,car,2,1149.8666666666666,38.815200000000004,10.782,green,0,36.809543307086614,50.0,0.5,3.4139810153113164,
34497,1,car,2,1149.9,38.815200000000004,10.782,green,0,36.655874015748026,50.0,0.5,3.3997286232376207,
34498,1,car,2,1149.9333333333334,38.815200000000004,10.782,green,0,36.502204724409445,50.0,0.5,3.3854762311639255,
34499,1,car,2,1149.9666666666667,38.815200000000004,10.782,green,0,36.348535433070865,50.0,0.5,3.3712238390902303,
34500,1,car,2,1150.0,38.815200000000004,10.782,green,0,36.19486614173228,50.0,0.5,3.3569714470165346,
34501,1,car,2,1150.0333333333333,38.815200000000004,10.782,green,0,36.041196850393696,50.0,0.5,3.3427190549428394,
34502,1,car,2,1150.0666666666666,38.815200000000004,10.782,green,0,35.887527559055115,50.0,0.5,3.3284666628691446,
34503,1,car,2,1150.1,38.815200000000004,10.782,green,0,35.73385826771653,50.0,0.5,3.3142142707954485,
34504,1,car,2,1150.1333333333334,38.815200000000004,10.782,green,0,35.58018897637795,50.0,0.5,3.2999618787217537,
34505,1,car,2,1150.1666666666667,38.815200000000004,10.782,green,0,35.426519685039366,50.0,0.5,3.2857094866480585,
34506,1,car,2,1150.2,38.815200000000004,10.782,green,0,35.272850393700786,50.0,0.5,3.2714570945743633,
34507,1,car,2,1150.2333333333333,38.815200000000004,10.782,green,0,35.119181102362205,50.0,0.5,3.257204702500668,
34508,1,car,2,1150.2666666666667,40.086,11.135,green,0,34.96551181102362,50.0,0.5,3.1401447517758077,
34509,1,car,2,1150.3,40.086,11.135,green,0,34.81184251968504,50.0,0.5,3.1263441867700976,
34510,1,car,2,1150.3333333333333,40.086,11.135,green,0,34.658173228346456,50.0,0.5,3.1125436217643876,
34511,1,car,2,1150.3666666666666,40.086,11.135,green,0,34.50450393700787,50.0,0.5,3.098743056758677,
34512,1,car,2,1150.4,40.086,11.135,green,0,34.35083464566929,50.0,0.5,3.084942491752967,
34513,1,car,2,1150.4333333333334,40.086,11.135,green,0,34.19716535433071,50.0,0.5,3.071141926747257,
34514,1,car,2,1150.4666666666667,40.086,11.135,green,0,34.04349606299212,50.0,0.5,3.0573413617415466,
34515,1,car,2,1150.5,40.086,11.135,green,0,33.88982677165354,50.0,0.5,3.0435407967358366,
34516,1,car,2,1150.5333333333333,40.086,11.135,green,0,33.73615748031496,50.0,0.5,3.0297402317301265,
34517,1,car,2,1150.5666666666666,40.086,11.135,green,0,33.58248818897637,50.0,0.5,3.015939666724416,
34518,1,car,2,1150.6,40.086,11.135,green,0,33.42881889763779,50.0,0.5,3.002139101718706,
34519,1,car,2,1150.6333333333334,40.086,11.135,green,0,33.27514960629921,50.0,0.5,2.988338536712996,
