frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,25.0,,2,,0,
0,2,truck,7,OFF,unknown,,,42.0,17.0,2,,0,
1,1,car,2,OFF,unknown,,,25.0,,2,,0,
1,2,truck,7,OFF,unknown,,,41.0,16.0,2,,0,
2,1,car,2,OFF,unknown,,,25.0,,2,,0,
2,2,truck,7,OFF,unknown,,,40.0,15.0,2,,0,
3,2,truck,7,OFF,unknown,,,40.0,15.0,2,,0,
3,1,car,2,OFF,unknown,,,25.0,,2,,0,
4,1,car,2,OFF,unknown,,,25.0,,2,,0,
4,2,truck,7,OFF,unknown,,,39.0,14.0,2,,0,
5,1,car,2,OFF,unknown,,,25.0,,2,,0,
5,2,truck,7,OFF,unknown,,,38.0,13.0,2,,0,
6,2,truck,7,OFF,unknown,,,37.0,12.0,2,,0,
6,1,car,2,OFF,unknown,,,25.0,,2,,0,
7,1,car,2,OFF,unknown,,,25.0,,2,,0,
7,2,truck,7,OFF,unknown,,,36.0,11.0,2,,0,
8,2,truck,7,OFF,unknown,,,34.0,9.0,2,,0,
8,1,car,2,OFF,unknown,,,25.0,,2,,0,
9,1,car,2,RED,red,,,25.0,,2,,0,
9,2,truck,7,RED,red,,,34.0,9.0,2,,0,
10,1,car,2,RED,red,,,25.0,,2,,0,
10,2,truck,7,RED,red,,,32.0,7.0,2,,0,
11,1,car,2,RED,red,0.0,0.0,25.0,,2,,0,
11,2,truck,7,RED,red,20.833,75.0,32.0,7.0,2,1.536,0,
12,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,2,,1,
12,2,car,2,YELLOW,yellow,21.154,76.154,31.0,6.0,2,1.465,1,
13,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,2,,1,
13,2,truck,7,YELLOW,yellow,21.429,77.143,30.0,5.0,2,1.4,1,
14,1,car,2,OFF,unknown,0.0,0.0,25.0,,2,,0,stop
14,2,truck,7,OFF,unknown,21.667,78.0,29.0,4.0,2,1.338,0,stop
15,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,2,,1,stop
15,2,truck,7,YELLOW,yellow,20.312,73.125,29.0,4.0,2,1.428,1,stop
16,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,1,,1,stop
17,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,1,,1,stop
18,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,1,,1,stop
19,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,1,,1,stop
20,1,car,2,YELLOW,yellow,0.0,0.0,25.0,1.0,2,,1,stop
20,2,car,2,YELLOW,yellow,26.471,95.294,24.0,,2,0.907,1,stop
21,1,car,2,YELLOW,yellow,0.0,0.0,25.0,1.0,2,,1,stop
21,2,car,2,YELLOW,yellow,25.0,90.0,24.0,,2,0.96,1,stop
22,1,car,2,RED,red,0.0,0.0,25.0,,1,,0,stop
23,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,1,,1,stop
24,3,car,2,YELLOW,yellow,,,58.0,33.0,2,,1,
24,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,2,,1,stop
25,3,car,2,YELLOW,yellow,,,57.0,32.0,3,,1,
25,1,car,2,YELLOW,yellow,0.0,0.0,25.0,4.0,3,,1,stop
25,2,car,2,YELLOW,yellow,27.632,99.474,21.0,,3,0.76,1,stop
26,3,car,2,YELLOW,yellow,,,57.0,32.0,4,,1,
26,4,car,2,YELLOW,yellow,,,57.0,32.0,4,,1,
26,1,car,2,YELLOW,yellow,0.0,0.0,25.0,5.0,4,,1,stop
26,2,car,2,YELLOW,yellow,27.5,99.0,20.0,,4,0.727,1,stop
27,4,car,2,YELLOW,yellow,,,56.0,31.0,4,,1,
27,3,car,2,YELLOW,yellow,,,56.0,31.0,4,,1,
27,1,car,2,YELLOW,yellow,0.0,0.0,25.0,6.0,4,,1,stop
27,2,car,2,YELLOW,yellow,27.381,98.571,19.0,,4,0.694,1,stop
28,4,car,2,YELLOW,yellow,,,55.0,30.0,4,,1,
28,3,car,2,YELLOW,yellow,,,56.0,1.0,4,,1,
28,1,car,2,YELLOW,yellow,0.0,0.0,25.0,7.0,4,,1,stop
28,2,car,2,YELLOW,yellow,27.273,98.182,18.0,,4,0.66,1,stop
29,3,car,2,YELLOW,yellow,,,55.0,1.0,4,,1,
29,4,car,2,YELLOW,yellow,,,54.0,29.0,4,,1,
29,1,car,2,YELLOW,yellow,0.0,0.0,25.0,7.0,4,,1,stop
29,2,car,2,YELLOW,yellow,26.087,93.913,18.0,,4,0.69,1,stop
30,3,car,2,GREEN,pre_yellow,,,55.0,1.0,3,,0,
30,4,car,2,GREEN,pre_yellow,,,54.0,29.0,3,,0,
30,1,car,2,GREEN,pre_yellow,0.0,0.0,25.0,,3,,0,
31,4,car,2,YELLOW,yellow,,,53.0,28.0,3,,1,stop
31,3,car,2,YELLOW,yellow,,,55.0,2.0,3,,1,stop
31,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,3,,1,stop
32,3,car,2,YELLOW,yellow,,,54.0,2.0,3,,1,stop
32,4,car,2,YELLOW,yellow,,,52.0,27.0,3,,1,stop
32,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,3,,1,stop
33,3,car,2,YELLOW,yellow,,,54.0,3.0,3,,1,stop
33,4,car,2,YELLOW,yellow,,,51.0,26.0,3,,1,stop
33,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,3,,1,stop
34,4,car,2,YELLOW,yellow,,,50.0,25.0,4,,1,stop
34,3,car,2,YELLOW,yellow,,,53.0,3.0,4,,1,stop
34,1,car,2,YELLOW,yellow,0.0,0.0,25.0,12.0,4,,1,stop
34,2,car,2,YELLOW,yellow,30.208,108.75,13.0,,4,0.43,1,stop
35,4,car,2,YELLOW,yellow,,,49.0,24.0,4,,1,stop
35,3,car,2,YELLOW,yellow,10.417,37.5,53.0,4.0,4,5.088,1,stop
35,1,car,2,YELLOW,yellow,0.0,0.0,25.0,12.0,4,,1,stop
35,2,car,2,YELLOW,yellow,29.0,104.4,13.0,,4,0.448,1,stop
36,5,car,2,YELLOW,yellow,,,58.0,5.0,4,,1,
36,4,car,2,YELLOW,yellow,,,48.0,23.0,4,,1,stop
36,3,car,2,YELLOW,yellow,9.615,34.615,53.0,5.0,4,5.512,1,stop
36,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,4,,1,stop
37,5,car,2,YELLOW,yellow,,,57.0,5.0,4,,1,
37,3,car,2,YELLOW,yellow,10.714,38.571,52.0,5.0,4,4.853,1,stop
37,4,car,2,YELLOW,yellow,20.833,75.0,47.0,22.0,4,2.256,1,stop
37,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,4,,1,stop
38,5,car,2,GREEN,pre_yellow,,,55.0,3.0,4,,0,
38,3,car,2,GREEN,pre_yellow,10.0,36.0,52.0,5.0,4,5.2,0,
38,4,car,2,GREEN,pre_yellow,19.231,69.231,47.0,22.0,4,2.444,0,
38,1,car,2,GREEN,pre_yellow,0.0,0.0,25.0,,4,,0,
39,5,car,2,YELLOW,yellow,,,55.0,4.0,4,,1,stop
39,3,car,2,YELLOW,yellow,10.938,39.375,51.0,5.0,4,4.663,1,stop
39,4,car,2,YELLOW,yellow,19.643,70.714,46.0,21.0,4,2.342,1,stop
39,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,4,,1,stop
40,5,car,2,YELLOW,yellow,,,53.0,2.0,4,,1,stop
40,3,car,2,YELLOW,yellow,10.294,37.059,51.0,6.0,4,4.954,1,stop
40,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,4,,1,stop
40,4,car,2,YELLOW,yellow,20.0,72.0,45.0,20.0,4,2.25,1,stop
41,5,car,2,YELLOW,yellow,,,52.0,2.0,4,,1,stop
41,3,car,2,YELLOW,yellow,11.111,40.0,50.0,6.0,4,4.5,1,stop
41,4,car,2,YELLOW,yellow,20.312,73.125,44.0,19.0,4,2.166,1,stop
