frame_index,tracker_id,vehicle_type,class_id,x,y,distance,time_s,speed_kmh,speed_ms,traffic_light_status,yellow_light,distance_to_stop_line,distance_to_front_vehicle,traffic_density,ttc,yellow_light_decision
0,1,truck,7,1,34,,,,,GREEN,False,34.0,4.0,5,,
0,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,5,,
0,3,car,2,1,47,,,,,GREEN,False,47.0,13.0,5,,
0,4,car,2,4,30,,,,,GREEN,False,30.0,16.0,5,,
0,5,car,2,4,14,,,,,GREEN,False,14.0,,5,,
1,1,truck,7,1,34,,,,,GREEN,False,34.0,4.0,5,,
1,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,5,,
1,3,car,2,1,47,,,,,GREEN,False,47.0,13.0,5,,
1,4,car,2,4,30,,,,,GREEN,False,30.0,16.0,5,,
1,5,car,2,4,14,,,,,GREEN,False,14.0,,5,,
2,1,truck,7,1,33,,,,,GREEN,False,33.0,5.0,5,,
2,4,car,2,4,28,,,,,GREEN,False,28.0,14.0,5,,
2,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,5,,
2,3,car,2,1,47,,,,,GREEN,False,47.0,14.0,5,,
2,5,car,2,4,14,,,,,GREEN,False,14.0,,5,,
3,1,truck,7,1,33,,,,,GREEN,False,33.0,6.0,5,,
3,4,car,2,4,27,,,,,GREEN,False,27.0,14.0,5,,
3,3,car,2,1,47,,,,,GREEN,False,47.0,14.0,5,,
3,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,5,,
3,5,car,2,4,13,,,,,GREEN,False,13.0,,5,,
4,4,car,2,4,27,,,,,GREEN,False,27.0,15.0,5,,
4,3,car,2,1,47,,,,,GREEN,False,47.0,14.0,5,,
4,1,truck,7,1,33,,,,,GREEN,False,33.0,6.0,5,,
4,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,5,,
4,5,car,2,4,12,,,,,GREEN,False,12.0,,5,,
5,4,car,2,4,26,,,,,GREEN,False,26.0,14.0,5,,
5,1,truck,7,1,33,,,,,GREEN,False,33.0,7.0,5,,
5,3,car,2,1,47,,,,,GREEN,False,47.0,14.0,5,,
5,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,5,,
5,5,car,2,4,12,,,,,GREEN,False,12.0,,5,,
6,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,5,,
6,4,car,2,4,25,,,,,GREEN,False,25.0,14.0,5,,
6,1,truck,7,1,33,,,,,GREEN,False,33.0,8.0,5,,
6,3,car,2,1,47,,,,,GREEN,False,47.0,14.0,5,,
6,5,car,2,4,11,,,,,GREEN,False,11.0,,5,,
7,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,6,,
7,3,car,2,1,47,,,,,GREEN,False,47.0,14.0,6,,
7,1,truck,7,1,33,,,,,GREEN,False,33.0,9.0,6,,
7,4,car,2,4,24,,,,,GREEN,False,24.0,14.0,6,,
7,5,car,2,4,10,,,,,GREEN,False,10.0,8.0,6,,
7,6,truck,7,1,2,,,,,GREEN,False,2.0,,6,,
8,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,6,,
8,3,car,2,1,47,,,,,GREEN,False,47.0,14.0,6,,
8,1,truck,7,1,33,,,,,GREEN,False,33.0,10.0,6,,
8,4,car,2,4,23,,,,,GREEN,False,23.0,13.0,6,,
8,6,truck,7,1,1,,,,,GREEN,False,1.0,,6,,
8,5,car,2,4,10,,,,,GREEN,False,10.0,9.0,6,,
9,7,car,2,4,57,,,,,GREEN,False,57.0,2.0,7,,
9,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,7,,
9,3,car,2,1,47,,,,,GREEN,False,47.0,14.0,7,,
9,1,truck,7,1,33,,,,,GREEN,False,33.0,11.0,7,,
9,4,car,2,4,22,,,,,GREEN,False,22.0,14.0,7,,
9,6,truck,7,1,1,,,,,GREEN,False,1.0,,7,,
9,5,car,2,4,8,,,,,GREEN,False,8.0,7.0,7,,
10,7,car,2,4,57,,,,,GREEN,False,57.0,2.0,7,,
10,2,car,2,1,55,,,,,GREEN,False,55.0,8.0,7,,
10,1,truck,7,1,33,,,,,GREEN,False,33.0,11.0,7,,
10,3,car,2,1,47,,,,,GREEN,False,47.0,14.0,7,,
10,4,car,2,4,22,,,,,GREEN,False,22.0,16.0,7,,
10,6,truck,7,1,1,,,,,GREEN,False,1.0,,7,,
10,5,car,2,4,6,,,,,GREEN,False,6.0,5.0,7,,
11,7,car,2,4,55,,,,,GREEN,False,55.0,8.0,7,,
11,2,car,2,1,55,0,0.5,0.0,0.0,GREEN,False,55.0,8.0,7,,
11,3,car,2,1,47,0,0.5,0.0,0.0,GREEN,False,47.0,14.0,7,,
11,1,truck,7,1,33,1,0.5,7.2,2.0,GREEN,False,33.0,13.0,7,16.5,
11,4,car,2,4,20,10,0.5,72.0,20.0,GREEN,False,20.0,18.0,7,1.0,
11,6,truck,7,1,2,,,,,GREEN,False,2.0,,7,,
11,5,car,2,4,2,12,0.5,86.4,24.0,GREEN,False,2.0,,7,0.08333333333333333,
12,7,car,2,4,54,,,,,GREEN,False,54.0,7.0,7,,
12,2,car,2,1,55,0,0.5416666666666666,0.0,0.0,GREEN,False,55.0,1.0,7,,
12,3,car,2,1,47,0,0.5416666666666666,0.0,0.0,GREEN,False,47.0,14.0,7,,
12,4,car,2,4,20,10,0.5416666666666666,66.46153846153847,18.461538461538463,GREEN,False,20.0,16.0,7,1.0833333333333333,
12,1,truck,7,1,33,1,0.5416666666666666,6.6461538461538465,1.8461538461538463,GREEN,False,33.0,13.0,7,17.875,
12,6,truck,7,1,2,,,,,GREEN,False,2.0,,7,,
12,5,car,2,4,4,10,0.5416666666666666,66.46153846153847,18.461538461538463,GREEN,False,4.0,2.0,7,0.21666666666666665,
13,7,car,2,4,54,,,,,GREEN,False,54.0,7.0,7,,
13,2,car,2,1,55,0,0.5833333333333334,0.0,0.0,GREEN,False,55.0,1.0,7,,
13,3,car,2,1,47,0,0.5833333333333334,0.0,0.0,GREEN,False,47.0,14.0,7,,
13,4,car,2,4,19,11,0.5833333333333334,67.88571428571429,18.857142857142858,GREEN,False,19.0,17.0,7,1.0075757575757576,
13,1,truck,7,1,33,1,0.5833333333333334,6.171428571428571,1.7142857142857142,GREEN,False,33.0,14.0,7,19.25,
13,6,truck,7,1,2,,,,,GREEN,False,2.0,,7,,
13,5,car,2,4,2,12,0.5833333333333334,74.05714285714285,20.57142857142857,GREEN,False,2.0,,7,0.09722222222222224,
14,7,car,2,4,52,,,,,GREEN,False,52.0,5.0,7,,
14,2,car,2,1,55,0,0.625,0.0,0.0,GREEN,False,55.0,3.0,7,,
14,3,car,2,1,47,0,0.625,0.0,0.0,GREEN,False,47.0,14.0,7,,
14,4,car,2,4,18,12,0.625,69.12,19.2,GREEN,False,18.0,16.0,7,0.9375,
14,1,truck,7,1,33,1,0.625,5.760000000000001,1.6,GREEN,False,33.0,15.0,7,20.625,
14,6,truck,7,1,2,,,,,GREEN,False,2.0,1.0,7,,
14,5,car,2,4,1,13,0.625,74.88000000000001,20.8,GREEN,False,1.0,,7,0.04807692307692307,
15,7,car,2,4,51,,,,,GREEN,False,51.0,4.0,7,,
15,2,car,2,1,55,0,0.6666666666666666,0.0,0.0,GREEN,False,55.0,4.0,7,,
15,3,car,2,1,47,0,0.6666666666666666,0.0,0.0,GREEN,False,47.0,14.0,7,,
15,4,car,2,4,17,13,0.6666666666666666,70.2,19.5,GREEN,False,17.0,15.0,7,0.8717948717948718,
15,1,truck,7,1,33,1,0.6666666666666666,5.4,1.5,GREEN,False,33.0,16.0,7,22.0,
15,5,car,2,4,0,14,0.6666666666666666,75.60000000000001,21.0,GREEN,False,0.0,,7,,stop
15,6,truck,7,1,2,,,,,GREEN,False,2.0,2.0,7,,
16,7,car,2,4,51,,,,,GREEN,False,51.0,4.0,7,,
16,2,car,2,1,55,0,0.7083333333333334,0.0,0.0,GREEN,False,55.0,4.0,7,,
16,3,car,2,1,47,0,0.7083333333333334,0.0,0.0,GREEN,False,47.0,14.0,7,,
16,4,car,2,4,16,14,0.7083333333333334,71.15294117647058,19.76470588235294,GREEN,False,16.0,13.0,7,0.8095238095238096,
16,1,truck,7,1,33,1,0.7083333333333334,5.08235294117647,1.4117647058823528,GREEN,False,33.0,17.0,7,23.375000000000004,
16,6,truck,7,1,3,,,,,GREEN,False,3.0,3.0,7,,
16,5,car,2,4,0,14,0.7083333333333334,71.15294117647058,19.76470588235294,GREEN,False,0.0,,7,,stop
17,7,car,2,4,49,,,,,GREEN,False,49.0,2.0,7,,
17,2,car,2,1,55,0,0.75,0.0,0.0,GREEN,False,55.0,6.0,7,,
17,3,car,2,1,47,0,0.75,0.0,0.0,GREEN,False,47.0,14.0,7,,
17,4,car,2,4,16,14,0.75,67.2,18.666666666666668,GREEN,False,16.0,13.0,7,0.8571428571428571,
17,1,truck,7,1,33,1,0.75,4.8,1.3333333333333333,GREEN,False,33.0,17.0,7,24.75,
17,6,truck,7,1,3,,,,,GREEN,False,3.0,4.0,7,,
17,5,car,2,4,-1,15,0.75,72.0,20.0,GREEN,False,-1.0,,7,,stop
18,7,car,2,4,48,,,,,GREEN,False,48.0,1.0,6,,
18,2,car,2,1,55,0,0.7916666666666666,0.0,0.0,GREEN,False,55.0,7.0,6,,
18,3,car,2,1,47,0,0.7916666666666666,0.0,0.0,GREEN,False,47.0,14.0,6,,
18,4,car,2,4,14,16,0.7916666666666666,72.75789473684212,20.210526315789476,GREEN,False,14.0,12.0,6,0.6927083333333333,
18,1,truck,7,1,33,1,0.7916666666666666,4.547368421052632,1.2631578947368423,GREEN,False,33.0,19.0,6,26.124999999999996,
18,6,truck,7,1,2,0,0.5,0.0,0.0,GREEN,False,2.0,,6,,
19,7,car,2,4,48,,,,,GREEN,False,48.0,1.0,7,,
19,2,car,2,1,55,0,0.8333333333333334,0.0,0.0,GREEN,False,55.0,7.0,7,,
19,3,car,2,1,47,0,0.8333333333333334,0.0,0.0,GREEN,False,47.0,14.0,7,,
19,1,truck,7,1,33,1,0.8333333333333334,4.32,1.2,GREEN,False,33.0,19.0,7,27.5,
19,4,car,2,4,14,16,0.8333333333333334,69.12,19.2,GREEN,False,14.0,13.0,7,0.7291666666666667,
19,6,truck,7,1,1,1,0.5416666666666666,6.6461538461538465,1.8461538461538463,GREEN,False,1.0,2.0,7,0.5416666666666666,
19,5,car,2,4,-1,15,0.7916666666666666,68.21052631578948,18.947368421052634,GREEN,False,-1.0,,7,,stop
20,7,car,2,4,47,10,0.5,72.0,20.0,GREEN,False,47.0,14.0,7,2.35,
20,2,car,2,1,55,0,0.875,0.0,0.0,GREEN,False,55.0,8.0,7,,
20,3,car,2,1,47,0,0.875,0.0,0.0,GREEN,False,47.0,14.0,7,,
20,1,truck,7,1,33,1,0.875,4.114285714285714,1.1428571428571428,GREEN,False,33.0,20.0,7,28.875,
