frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,truck,7,OFF,unknown,,,50.0,,1,,0,
1,1,truck,7,OFF,unknown,,,50.0,,1,,0,
2,1,truck,7,OFF,unknown,,,50.0,48.0,3,,0,
2,2,car,2,OFF,unknown,,,57.0,7.0,3,,0,
2,3,car,2,OFF,unknown,,,2.0,,3,,0,
3,2,car,2,OFF,unknown,,,56.0,6.0,3,,0,
3,1,truck,7,OFF,unknown,,,50.0,49.0,3,,0,
3,3,car,2,OFF,unknown,,,1.0,,3,,0,
4,2,car,2,OFF,unknown,,,55.0,5.0,2,,0,
4,1,truck,7,OFF,unknown,,,50.0,,2,,0,
5,2,car,2,OFF,unknown,,,54.0,4.0,3,,0,
5,1,truck,7,OFF,unknown,,,50.0,50.0,3,,0,
5,3,car,2,OFF,unknown,,,0.0,,3,,0,
6,2,car,2,OFF,unknown,,,53.0,3.0,3,,0,
6,1,truck,7,OFF,unknown,,,50.0,50.0,3,,0,
6,3,car,2,OFF,unknown,,,0.0,,3,,0,
7,2,car,2,OFF,unknown,,,52.0,2.0,3,,0,
7,1,truck,7,OFF,unknown,,,50.0,33.0,3,,0,
7,4,car,2,OFF,unknown,,,17.0,,3,,0,
8,2,car,2,OFF,unknown,,,51.0,1.0,3,,0,
8,1,truck,7,OFF,unknown,,,50.0,33.0,3,,0,
8,4,car,2,OFF,unknown,,,17.0,,3,,0,
9,2,car,2,RED,red,,,50.0,34.0,3,,0,
9,1,truck,7,RED,red,,,50.0,34.0,3,,0,
9,4,car,2,RED,red,,,16.0,,3,,0,
10,2,car,2,YELLOW,yellow,,,50.0,34.0,3,,1,
10,1,truck,7,YELLOW,yellow,,,50.0,34.0,3,,1,
10,4,car,2,YELLOW,yellow,,,16.0,,3,,1,
11,2,car,2,YELLOW,yellow,,,49.0,33.0,3,,1,
11,1,truck,7,YELLOW,yellow,0.0,0.0,50.0,1.0,3,,1,
11,4,car,2,YELLOW,yellow,,,16.0,,3,,1,
12,1,truck,7,YELLOW,yellow,0.0,0.0,50.0,2.0,3,,1,
12,2,car,2,YELLOW,yellow,,,48.0,33.0,3,,1,
12,4,car,2,YELLOW,yellow,,,15.0,,3,,1,
13,2,car,2,YELLOW,yellow,20.0,72.0,47.0,32.0,3,2.35,1,
13,1,truck,7,YELLOW,yellow,0.0,0.0,50.0,3.0,3,,1,
13,4,car,2,YELLOW,yellow,,,15.0,,3,,1,
14,2,car,2,YELLOW,yellow,20.308,73.108,46.0,32.0,3,2.265,1,
14,1,truck,7,YELLOW,yellow,0.0,0.0,50.0,4.0,3,,1,
