frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,truck,7,OFF,unknown,,,48.0,22.0,4,,0,
0,2,car,2,OFF,unknown,,,15.0,11.0,4,,0,
0,3,motorcycle,3,OFF,unknown,,,26.0,11.0,4,,0,
0,4,truck,7,OFF,unknown,,,4.0,,4,,0,
1,1,truck,7,OFF,unknown,,,48.0,23.0,4,,0,
1,2,car,2,OFF,unknown,,,15.0,11.0,4,,0,
1,3,motorcycle,3,OFF,unknown,,,25.0,10.0,4,,0,
1,4,bus,5,OFF,unknown,,,4.0,,4,,0,
2,1,truck,7,OFF,unknown,,,48.0,24.0,4,,0,
2,3,motorcycle,3,OFF,unknown,,,24.0,10.0,4,,0,
2,2,car,2,OFF,unknown,,,14.0,11.0,4,,0,
2,4,bus,5,OFF,unknown,,,3.0,,4,,0,
3,1,truck,7,OFF,unknown,,,48.0,13.0,5,,0,
3,6,motorcycle,3,OFF,unknown,,,35.0,12.0,5,,0,
3,4,truck,7,OFF,unknown,,,3.0,,5,,0,
3,3,motorcycle,3,OFF,unknown,,,23.0,10.0,5,,0,
3,2,car,2,OFF,unknown,,,13.0,10.0,5,,0,
4,1,truck,7,OFF,unknown,,,48.0,13.0,5,,0,
4,6,motorcycle,3,OFF,unknown,,,35.0,12.0,5,,0,
4,2,car,2,OFF,unknown,,,12.0,10.0,5,,0,
4,3,motorcycle,3,OFF,unknown,,,23.0,11.0,5,,0,
4,4,bus,5,OFF,unknown,,,2.0,,5,,0,
5,1,truck,7,OFF,unknown,,,48.0,14.0,4,,0,
5,6,motorcycle,3,OFF,unknown,,,34.0,12.0,4,,0,
5,3,motorcycle,3,OFF,unknown,,,22.0,10.0,4,,0,
5,2,car,2,OFF,unknown,,,12.0,,4,,0,
6,1,truck,7,OFF,unknown,,,48.0,15.0,5,,0,
6,6,motorcycle,3,OFF,unknown,,,33.0,12.0,5,,0,
6,2,car,2,OFF,unknown,,,11.0,10.0,5,,0,
6,3,motorcycle,3,OFF,unknown,,,21.0,10.0,5,,0,
6,4,bus,5,OFF,unknown,,,1.0,,5,,0,
7,1,truck,7,OFF,unknown,,,48.0,16.0,5,,0,
7,6,motorcycle,3,OFF,unknown,,,32.0,11.0,5,,0,
7,2,car,2,OFF,unknown,,,10.0,9.0,5,,0,
7,3,motorcycle,3,OFF,unknown,,,21.0,11.0,5,,0,
7,4,bus,5,OFF,unknown,,,1.0,,5,,0,
8,1,truck,7,OFF,unknown,,,48.0,17.0,5,,0,
8,6,motorcycle,3,OFF,unknown,,,31.0,12.0,5,,0,
8,2,truck,7,OFF,unknown,,,9.0,8.0,5,,0,
8,4,bus,5,OFF,unknown,,,1.0,,5,,0,
8,3,motorcycle,3,OFF,unknown,,,19.0,10.0,5,,0,
