frame_index,tracker_id,vehicle_type,class_id,x,y,distance,time_s,speed_kmh,speed_ms,traffic_light_status,yellow_light,distance_to_stop_line,distance_to_front_vehicle,traffic_density,ttc,yellow_light_decision
0,1,truck,7,1,23,,,,,GREEN,False,23.0,,6,,
0,2,car,2,1,49,,,,,GREEN,False,49.0,1.0,6,,
0,3,car,2,6,56,,,,,GREEN,False,56.0,7.0,6,,
0,4,car,2,4,28,,,,,GREEN,False,28.0,5.0,6,,
0,5,car,2,4,48,,,,,GREEN,False,48.0,11.0,6,,
0,6,car,2,1,37,,,,,GREEN,False,37.0,9.0,6,,
1,3,car,2,6,55,,,,,GREEN,False,55.0,6.0,6,,
1,1,truck,7,1,23,,,,,GREEN,False,23.0,,6,,
1,2,car,2,1,49,,,,,GREEN,False,49.0,2.0,6,,
1,5,car,2,4,47,,,,,GREEN,False,47.0,11.0,6,,
1,4,car,2,4,28,,,,,GREEN,False,28.0,5.0,6,,
1,6,car,2,1,36,,,,,GREEN,False,36.0,8.0,6,,
2,3,car,2,6,54,,,,,GREEN,False,54.0,5.0,6,,
2,5,car,2,4,46,,,,,GREEN,False,46.0,10.0,6,,
2,1,truck,7,1,23,,,,,GREEN,False,23.0,,6,,
2,2,car,2,1,49,,,,,GREEN,False,49.0,3.0,6,,
2,4,car,2,4,26,,,,,GREEN,False,26.0,3.0,6,,
2,6,car,2,1,36,,,,,GREEN,False,36.0,10.0,6,,
3,5,car,2,4,46,,,,,GREEN,False,46.0,10.0,6,,
3,1,truck,7,1,23,,,,,GREEN,False,23.0,,6,,
3,3,car,2,7,54,,,,,GREEN,False,54.0,5.0,6,,
3,2,car,2,1,49,,,,,GREEN,False,49.0,3.0,6,,
3,4,car,2,4,26,,,,,GREEN,False,26.0,3.0,6,,
3,6,car,2,1,36,,,,,GREEN,False,36.0,10.0,6,,
4,1,truck,7,1,23,,,,,GREEN,False,23.0,,6,,
4,3,car,2,7,53,,,,,GREEN,False,53.0,4.0,6,,
4,5,car,2,4,45,,,,,GREEN,False,45.0,11.0,6,,
4,2,car,2,1,49,,,,,GREEN,False,49.0,4.0,6,,
4,4,car,2,4,25,,,,,GREEN,False,25.0,2.0,6,,
4,6,car,2,1,34,,,,,GREEN,False,34.0,9.0,6,,
5,3,car,2,7,52,,,,,GREEN,False,52.0,4.0,7,,
5,1,truck,7,1,22,,,,,GREEN,False,22.0,,7,,
5,2,car,2,1,48,,,,,GREEN,False,48.0,4.0,7,,
5,5,car,2,4,44,,,,,GREEN,False,44.0,9.0,7,,
5,4,car,2,4,25,,,,,GREEN,False,25.0,3.0,7,,
5,6,car,2,1,35,,,,,GREEN,False,35.0,10.0,7,,
5,7,motorcycle,3,7,25,,,,,GREEN,False,25.0,3.0,7,,
6,3,car,2,7,52,,,,,GREEN,False,52.0,4.0,7,,
6,1,truck,7,1,22,,,,,GREEN,False,22.0,,7,,
6,2,car,2,1,48,,,,,GREEN,False,48.0,4.0,7,,
6,5,car,2,4,44,,,,,GREEN,False,44.0,10.0,7,,
6,6,car,2,1,34,,,,,GREEN,False,34.0,9.0,7,,
6,4,car,2,4,24,,,,,GREEN,False,24.0,2.0,7,,
6,7,motorcycle,3,7,25,,,,,GREEN,False,25.0,1.0,7,,
7,3,car,2,7,51,,,,,GREEN,False,51.0,3.0,7,,
7,1,truck,7,1,23,,,,,GREEN,False,23.0,,7,,
7,2,car,2,1,48,,,,,GREEN,False,48.0,5.0,7,,
7,5,car,2,4,43,,,,,GREEN,False,43.0,7.0,7,,
7,4,car,2,4,23,,,,,GREEN,False,23.0,,7,,
7,6,car,2,1,36,,,,,GREEN,False,36.0,11.0,7,,
7,7,motorcycle,3,7,25,,,,,GREEN,False,25.0,2.0,7,,
8,5,car,2,4,43,,,,,GREEN,False,43.0,20.0,5,,
8,3,car,2,6,50,,,,,GREEN,False,50.0,2.0,5,,
8,1,truck,7,1,22,,,,,GREEN,False,22.0,,5,,
8,2,car,2,1,48,,,,,GREEN,False,48.0,5.0,5,,
8,4,car,2,4,23,,,,,GREEN,False,23.0,1.0,5,,
9,3,car,2,6,50,,,,,GREEN,False,50.0,2.0,7,,
9,2,car,2,1,48,,,,,GREEN,False,48.0,6.0,7,,
9,1,truck,7,1,22,,,,,GREEN,False,22.0,,7,,
9,5,car,2,4,42,,,,,GREEN,False,42.0,6.0,7,,
9,4,car,2,4,22,,,,,GREEN,False,22.0,,7,,
9,6,car,2,1,36,,,,,GREEN,False,36.0,12.0,7,,
9,7,motorcycle,3,7,24,,,,,GREEN,False,24.0,2.0,7,,
10,3,car,2,6,49,,,,,GREEN,False,49.0,1.0,7,,
10,2,car,2,1,48,,,,,GREEN,False,48.0,7.0,7,,
10,1,truck,7,1,22,,,,,GREEN,False,22.0,,7,,
10,5,car,2,4,41,,,,,GREEN,False,41.0,5.0,7,,
10,6,car,2,1,36,,,,,GREEN,False,36.0,12.0,7,,
10,4,car,2,4,22,,,,,GREEN,False,22.0,,7,,
10,7,motorcycle,3,7,24,,,,,GREEN,False,24.0,2.0,7,,
11,1,truck,7,1,22,1,0.5,7.2,2.0,GREEN,False,22.0,1.0,7,11.0,
11,2,car,2,1,48,1,0.5,7.2,2.0,GREEN,False,48.0,8.0,7,24.0,
11,3,car,2,6,48,8,0.5,57.6,16.0,GREEN,False,48.0,8.0,7,3.0,
11,4,car,2,4,21,7,0.5,50.4,14.0,GREEN,False,21.0,,7,1.5,
11,6,car,2,1,35,,,,,GREEN,False,35.0,12.0,7,,
11,5,car,2,4,40,8,0.5,57.6,16.0,GREEN,False,40.0,5.0,7,2.5,
11,7,motorcycle,3,7,23,,,,,GREEN,False,23.0,1.0,7,,
12,1,truck,7,1,22,1,0.5416666666666666,6.6461538461538465,1.8461538461538463,GREEN,False,22.0,1.0,8,11.916666666666666,
12,3,car,2,6,47,9,0.5416666666666666,59.81538461538462,16.615384615384617,GREEN,False,47.0,7.0,8,2.8287037037037033,
12,2,car,2,1,48,1,0.5416666666666666,6.6461538461538465,1.8461538461538463,GREEN,False,48.0,1.0,8,26.0,
12,5,car,2,4,40,8,0.5416666666666666,53.16923076923077,14.76923076923077,GREEN,False,40.0,5.0,8,2.708333333333333,
12,6,car,2,1,35,2,0.5,14.4,4.0,GREEN,False,35.0,11.0,8,8.75,
12,4,car,2,4,21,7,0.5416666666666666,46.52307692307693,12.923076923076923,GREEN,False,21.0,,8,1.625,
12,8,motorcycle,3,6,56,,,,,GREEN,False,56.0,8.0,8,,
12,7,motorcycle,3,7,24,,,,,GREEN,False,24.0,2.0,8,,
13,1,truck,7,1,22,1,0.5833333333333334,6.171428571428571,1.7142857142857142,GREEN,False,22.0,2.0,8,12.833333333333334,
