frame_index,tracker_id,vehicle_type,class_id,x,y,distance,time_s,speed_kmh,speed_ms,traffic_light_status,yellow_light,distance_to_stop_line,distance_to_front_vehicle,traffic_density,ttc,yellow_light_decision
34449,1,car,2,4,28,0,0.0,39.63,11.008,YELLOW,True,28.0,,1,,GO
34450,1,car,2,4,28,0,0.05,39.63,11.008,YELLOW,True,28.0,,1,,GO
34451,1,car,2,4,28,0,0.101,39.63,11.008,YELLOW,True,28.0,,1,,GO
34452,1,car,2,4,28,0,0.172,39.63,11.008,YELLOW,True,28.0,,1,,GO
34453,1,car,2,4,28,0,0.222,39.63,11.008,YELLOW,True,28.0,,1,,GO
34454,1,car,2,4,28,0,0.272,39.63,11.008,YELLOW,True,28.0,,1,,GO
34455,1,car,2,4,28,0,0.321,39.63,11.008,YELLOW,True,28.0,,1,,GO
34456,1,car,2,4,28,0,0.372,39.63,11.008,YELLOW,True,28.0,,1,,GO
34457,1,car,2,4,28,0,0.422,39.63,11.008,YELLOW,True,28.0,,1,,GO
34458,1,car,2,4,28,0,0.471,39.63,11.008,YELLOW,True,28.0,,1,,GO
34459,1,car,2,4,28,0,0.524,39.63,11.008,YELLOW,True,28.0,,1,,GO
34460,1,car,2,4,28,0,0.574,39.63,11.008,YELLOW,True,28.0,,1,,GO
34461,1,car,2,4,28,0,0.623,39.63,11.008,YELLOW,True,28.0,,1,,GO
34462,1,car,2,4,28,0,0.673,39.63,11.008,YELLOW,True,28.0,,1,,GO
34463,1,car,2,4,28,0,0.723,39.63,11.008,YELLOW,True,28.0,,1,,GO
34464,1,car,2,4,28,0,0.772,39.63,11.008,YELLOW,True,28.0,,1,,GO
34465,1,car,2,4,28,0,0.823,39.63,11.008,YELLOW,True,28.0,,1,,GO
34466,1,car,2,4,28,0,0.873,39.63,11.008,YELLOW,True,28.0,,1,,GO
34467,1,car,2,4,28,0,0.922,39.63,11.008,YELLOW,True,28.0,,1,,GO
34468,1,car,2,4,28,0,0.972,39.63,11.008,YELLOW,True,28.0,,1,,GO
34469,1,car,2,4,28,0,1.023,38.93,10.815,YELLOW,True,28.0,,1,,GO
34470,1,car,2,4,28,0,1.072,38.93,10.815,YELLOW,True,28.0,,1,,GO
34471,1,car,2,4,28,0,1.122,38.93,10.815,YELLOW,True,28.0,,1,,GO
34472,1,car,2,4,28,0,1.173,38.93,10.815,YELLOW,True,28.0,,1,,GO
34473,1,car,2,4,28,0,1.222,38.93,10.815,YELLOW,True,28.0,,1,,GO
34474,1,car,2,4,28,0,1.272,38.93,10.815,YELLOW,True,28.0,,1,,GO
34475,1,car,2,4,28,0,1.322,38.93,10.815,YELLOW,True,28.0,,1,,GO
34476,1,car,2,4,28,0,1.371,38.93,10.815,YELLOW,True,28.0,,1,,GO
34477,1,car,2,4,28,0,1.421,38.93,10.815,YELLOW,True,28.0,,1,,GO
34478,1,car,2,4,28,0,1.471,38.93,10.815,YELLOW,True,28.0,,1,,GO
34479,1,car,2,4,28,0,1.52,38.93,10.815,YELLOW,True,28.0,,1,,GO
34480,1,car,2,4,28,0,1.57,38.93,10.815,YELLOW,True,28.0,,1,,GO
34481,1,car,2,4,28,0,1.623,38.93,10.815,YELLOW,True,28.0,,1,,GO
34482,1,car,2,4,28,0,1.672,38.93,10.815,YELLOW,True,28.0,,1,,GO
34483,1,car,2,4,28,0,1.722,38.93,10.815,YELLOW,True,28.0,,1,,GO
34484,1,car,2,4,28,0,1.772,38.93,10.815,YELLOW,True,28.0,,1,,GO
34485,1,car,2,4,28,0,1.822,38.93,10.815,YELLOW,True,28.0,,1,,GO
34486,1,car,2,4,28,0,1.872,38.93,10.815,YELLOW,True,28.0,,1,,GO
34487,1,car,2,4,28,0,1.922,38.93,10.815,YELLOW,True,28.0,,1,,GO
34488,1,car,2,4,28,0,1.971,38.93,10.815,YELLOW,True,28.0,,1,,GO
34489,1,car,2,4,28,0,2.021,38.82,10.782,YELLOW,True,28.0,,1,,GO
34490,1,car,2,4,28,0,2.071,38.82,10.782,YELLOW,True,28.0,,1,,GO
34491,1,car,2,4,28,0,2.12,38.82,10.782,YELLOW,True,28.0,,1,,GO
34492,1,car,2,4,28,0,2.17,38.82,10.782,YELLOW,True,28.0,,1,,GO
34493,1,car,2,4,28,0,2.242,38.82,10.782,YELLOW,True,28.0,,1,,GO
